Timestamp,Emotion,Confidence
2025-10-16 22:28:31.979795,Happy,0.29
2025-10-16 22:28:33.934663,Neutral,0.54
2025-10-16 22:28:35.946979,Neutral,0.50
2025-10-16 22:28:38.213975,Neutral,0.46
2025-10-16 22:28:40.170755,Happy,0.51
2025-10-16 22:28:42.231026,Neutral,0.41
2025-10-16 22:28:44.476507,Neutral,0.45
2025-10-16 22:28:47.281909,Neutral,0.49
2025-10-16 22:28:49.434913,Neutral,0.49
2025-10-16 22:28:51.644721,Neutral,0.50
2025-10-16 22:28:54.985724,Neutral,0.60
2025-10-16 22:28:56.778303,Neutral,0.53
2025-10-16 22:28:58.860301,Neutral,0.53
2025-10-16 22:29:00.905342,Neutral,0.22
2025-10-16 22:29:01.460331,Angry,0.23
2025-10-16 22:29:03.335338,Neutral,0.52
2025-10-16 22:29:04.551970,Neutral,0.54
2025-10-16 22:29:05.807947,Neutral,0.51
2025-10-16 22:29:07.413294,Neutral,0.27
2025-10-16 22:29:08.818286,Happy,0.68
2025-10-16 22:29:10.290484,Happy,0.71
2025-10-16 22:29:11.655504,Happy,0.69
2025-10-16 22:29:13.075849,Neutral,0.48
2025-10-16 22:29:14.284847,Neutral,0.41
2025-10-16 22:29:15.668251,Neutral,0.50
2025-10-16 22:29:16.860252,Neutral,0.41
2025-10-16 22:29:18.259423,Happy,0.55
2025-10-16 22:29:19.835461,Neutral,0.54
2025-10-16 22:29:21.667543,Neutral,0.54
2025-10-16 22:29:22.912542,Neutral,0.56
2025-10-16 22:29:24.317471,Neutral,0.55
2025-10-16 22:29:25.531469,Neutral,0.60
2025-10-16 22:29:26.933054,Neutral,0.41
2025-10-16 22:29:30.711631,Neutral,0.46
2025-10-16 22:29:32.099632,Neutral,0.43
2025-10-16 22:29:33.433031,Neutral,0.45
2025-10-16 22:29:34.744033,Neutral,0.38
2025-10-16 22:29:36.470059,Neutral,0.40
2025-10-16 22:29:37.880337,Neutral,0.42
2025-10-16 22:29:38.960577,Neutral,0.44
2025-10-16 22:29:39.954550,Neutral,0.39
2025-10-16 22:29:41.098115,Neutral,0.50
2025-10-16 22:29:42.141116,Neutral,0.45
2025-10-16 22:29:43.294425,Neutral,0.47
2025-10-16 22:29:44.354427,Neutral,0.42
2025-10-16 22:29:45.485958,Neutral,0.46
2025-10-16 22:29:46.590938,Neutral,0.48
2025-10-16 22:29:47.643938,Neutral,0.44
2025-10-16 22:29:48.838773,Neutral,0.39
2025-10-16 22:29:49.875793,Neutral,0.51
2025-10-16 22:29:51.027386,Neutral,0.37
2025-10-16 22:29:51.438381,Angry,0.33
2025-10-16 22:29:52.420390,Neutral,0.42
2025-10-16 22:29:53.529820,Neutral,0.46
2025-10-16 22:29:54.541822,Neutral,0.46
2025-10-16 22:29:55.545822,Neutral,0.42
2025-10-16 22:29:56.630675,Neutral,0.50
2025-10-16 22:29:57.689337,Neutral,0.40
2025-10-16 22:29:58.814785,Neutral,0.40
2025-10-16 22:29:59.825761,Happy,0.54
2025-10-16 22:30:00.965474,Happy,0.76
2025-10-16 22:30:01.956473,Neutral,0.40
2025-10-16 22:30:02.998481,Neutral,0.40
2025-10-16 22:30:04.088673,Neutral,0.58
2025-10-16 22:30:05.099666,Neutral,0.29
2025-10-16 22:30:06.202043,Happy,0.98
2025-10-16 22:30:07.208068,Happy,1.00
2025-10-16 22:30:08.305740,Happy,0.98
2025-10-16 22:30:09.317751,Happy,0.98
2025-10-16 22:30:10.323749,Happy,0.91
2025-10-16 22:30:11.475038,Happy,0.98
2025-10-16 22:30:13.053038,Happy,0.82
2025-10-16 22:30:14.171103,Surprise,0.40
2025-10-16 22:30:15.869986,Surprise,0.49
2025-10-16 22:30:16.917746,Surprise,0.52
2025-10-16 22:30:17.957762,Neutral,0.34
2025-10-16 22:30:19.113513,Neutral,0.36
2025-10-16 22:30:20.824569,Neutral,0.33
2025-10-16 22:30:21.869568,Neutral,0.39
2025-10-16 22:30:24.254983,Happy,0.79
2025-10-16 22:30:25.283974,Neutral,0.50
2025-10-16 22:30:26.468688,Neutral,0.45
2025-10-16 22:30:29.448198,Sad,0.28
2025-10-16 22:30:29.875185,Happy,0.42
2025-10-16 22:30:31.072153,Fear,0.21
2025-10-16 22:30:32.174369,Happy,0.29
2025-10-16 22:30:33.289372,Surprise,0.24
2025-10-16 22:30:34.448047,Surprise,0.39
2025-10-16 22:30:35.534042,Fear,0.23
2025-10-16 22:30:37.153690,Happy,0.25
2025-10-16 22:30:38.925031,Neutral,0.44
2025-10-16 22:30:40.652037,Neutral,0.39
2025-10-16 22:30:42.203697,Neutral,0.63
2025-10-16 22:30:43.878343,Neutral,0.58
2025-10-16 22:30:45.454337,Neutral,0.54
2025-10-16 22:30:47.013700,Neutral,0.52
2025-10-16 22:30:48.470701,Neutral,0.56
2025-10-16 22:30:50.044410,Neutral,0.51
2025-10-16 22:30:51.403408,Neutral,0.46
2025-10-16 22:30:52.805515,Neutral,0.49
2025-10-16 22:30:54.165491,Neutral,0.51
2025-10-16 22:30:57.183468,Neutral,0.55
2025-10-16 22:30:58.513468,Neutral,0.49
2025-10-16 22:30:59.819627,Neutral,0.62
2025-10-16 22:31:01.006593,Neutral,0.53
2025-10-16 22:31:02.299496,Neutral,0.57
2025-10-16 22:31:03.521492,Neutral,0.62
2025-10-16 22:31:04.494747,Neutral,0.57
2025-10-16 22:31:05.778239,Neutral,0.50
2025-10-16 22:31:06.960434,Neutral,0.51
2025-10-16 22:31:08.106670,Neutral,0.61
2025-10-16 22:31:09.274667,Neutral,0.55
2025-10-16 22:31:10.446098,Neutral,0.20
2025-10-16 22:31:11.670102,Neutral,0.61
2025-10-16 22:31:12.879199,Neutral,0.57
2025-10-16 22:31:13.939235,Neutral,0.56
2025-10-16 22:31:15.088596,Neutral,0.53
2025-10-16 22:31:16.121312,Neutral,0.50
Timestamp,Emotion,Confidence
2025-10-16 22:53:11.712360,Neutral,0.59
2025-10-16 22:53:12.523279,Neutral,0.61
2025-10-16 22:53:13.708271,Neutral,0.63
2025-10-16 22:53:14.763906,Neutral,0.54
2025-10-16 22:53:15.738906,Neutral,0.56
2025-10-16 22:53:16.636418,Neutral,0.54
2025-10-16 22:53:17.689283,Neutral,0.52
2025-10-16 22:53:18.646327,Neutral,0.54
2025-10-16 22:53:19.698952,Neutral,0.58
2025-10-16 22:53:20.652952,Neutral,0.50
2025-10-16 22:53:21.571987,Neutral,0.53
2025-10-16 22:53:22.651437,Neutral,0.56
2025-10-16 22:53:25.351415,Neutral,0.71
2025-10-16 22:53:26.329426,Neutral,0.48
2025-10-16 22:53:27.555740,Neutral,0.55
2025-10-16 22:53:28.618738,Neutral,0.41
2025-10-16 22:53:29.742184,Neutral,0.32
2025-10-16 22:53:30.765190,Neutral,0.57
2025-10-16 22:53:31.832209,Neutral,0.37
2025-10-16 22:53:32.963388,Neutral,0.38
2025-10-16 22:53:33.950402,Neutral,0.47
2025-10-16 22:53:35.115031,Neutral,0.56
2025-10-16 22:53:36.034067,Neutral,0.49
2025-10-16 22:53:36.999028,Neutral,0.53
2025-10-16 22:53:38.123417,Neutral,0.62
2025-10-16 22:53:39.033426,Neutral,0.35
2025-10-16 22:53:40.064967,Happy,0.34
2025-10-16 22:53:40.988962,Neutral,0.57
2025-10-16 22:53:42.521868,Neutral,0.66
2025-10-16 22:53:43.969859,Neutral,0.53
2025-10-16 22:53:45.090875,Neutral,0.51
2025-10-16 22:53:46.036896,Neutral,0.48
2025-10-16 22:53:46.998879,Neutral,0.51
2025-10-16 22:53:48.632544,Neutral,0.35
2025-10-16 22:53:49.635527,Neutral,0.67
2025-10-16 22:53:50.703541,Neutral,0.54
2025-10-16 22:53:51.703554,Neutral,0.55
2025-10-16 22:53:52.859217,Neutral,0.49
2025-10-16 22:53:53.881193,Neutral,0.59
2025-10-16 22:53:55.007198,Neutral,0.46
2025-10-16 22:53:56.012814,Neutral,0.51
2025-10-16 22:53:57.092823,Neutral,0.35
2025-10-16 22:53:58.201048,Neutral,0.49
